Index,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,PARTIC_MEN_Football,MEN_TOTAL_ASSTCOACH_Football
15,Air Force,Mt. West,Troy Calhoun,885000,247000,Air Force,Mt. West,60009782,54192115,U.S. Air Force Academy,Mountain West Conference,87,,Air Force,Mountain West,52237,1962,Air Force,50,9.3,7.4,,,
216,Akron,MAC,Terry Bowden,412500,225000,Akron,MAC,37194485,37275978,University of Akron,Mid-American Conference,78,67,Akron,MAC,30000,2009,Akron,16.7,-24.2,-4.8,University of Akron Main Campus,110,10
278,Alabama,SEC,Nick Saban,8307000,1100000,Alabama,SEC,164090889,185317681,University of Alabama,Southeastern Conference,88,63,Alabama,SEC,101821,1929,Alabama,100,29.1,7,Alabama State University,120,12
401,Alabama at Birmingham,C-USA,Bill Clark,900000,950000,Alabama at Birmingham,C-USA,36494381,35697117,University of Alabama at Birmingham,Conference USA,73,47,Alabama,SEC,101821,1929,Alabama,100,29.1,7,University of Alabama at Birmingham,127,10
403,Appalachian State,Sun Belt,Scott Satterfield,712500,295000,Appalachian State,Sun Belt,37996512,37773447,Appalachian State University,Sun Belt Conference,77,65,Appalachian State,Sun Belt,24150,1962,Texas State,16.7,-10.5,1.9,Appalachian State University,130,10
229,Arizona,Pac-12,Kevin Sumlin,2000000,2025000,Arizona,Pac-12,105091389,100565835,University of Arizona,Pac-12 Conference,78,56,Arizona,Pac 12,56037,1928,Arizona,0,-22.4,-12.1,University of Arizona,108,15
349,Arizona State,Pac-12,Herm Edwards,2000000,3010000,Arizona State,Pac-12,121698840,118404377,Arizona State University,Pac-12 Conference,75,57,Arizona State,Pac 12,56232,1958,Arizona,0,-22.4,-12.1,Arizona State University-Tempe,126,14
253,Arkansas,SEC,Chad Morris,3500000,1000000,Arkansas,SEC,137497788,129620361,Arkansas University,Sun Belt Conference,84,63,Arkansas,SEC,72000,1938,Arkansas,33,-9.2,3.3,University of Arkansas,128,14
340,Arkansas State,Sun Belt,Blake Anderson,825000,185000,Arkansas State,Sun Belt,35550592,35550592,Arkansas State University,Sun Belt Conference,77,53,Arkansas State,Sun Belt,30964,2002,Arkansas,33,-9.2,3.3,Arkansas State University-Main Campus,123,14
202,Auburn,SEC,Gus Malzahn,6705656,1400000,Auburn,SEC,152455416,139260711,Auburn University,Southeastern Conference,79,64,Auburn,SEC,87451,1939,Auburn,54.5,0.4,0.1,Auburn University,122,14
71,Ball State,MAC,Mike Neu,435689,380000,Ball State,MAC,27678480,27911602,Ball State University,Mid-American Conference,76,64,Ball State,MAC,22500,1967,Ball State,87.5,8.5,9.4,Ball State University,116,14
219,Baylor,Big 12,Matt Rhule,,,Texas,Big 12,223879781,204234897,Baylor University,Big 12 Conference,91,59,Baylor,Big 12,45140,2014,Baylor,22.2,-5.9,-2.1,Baylor University,120,10
98,Boise State,Mt. West,Bryan Harsin,1650010,475000,Boise State,Mt. West,50599483,49758472,Boise State University,Mountain West Conference,87,61,Boise State,Mountain West,37000,1970,Boise State,71.4,6.7,-3,Boise State University,109,14
398,Boston College,ACC,Steve Addazio,2514859,,College of Charleston,CAA,21251949,21858855,Boston College,Atlantic Coast Conference,90,80,Boston College,ACC,44500,1957,Boston Col,54.5,-0.5,3.3,Boston College,113,10
96,Bowling Green,MAC,Mike Jinks,437228,245000,Bowling Green,MAC,26001184,25780900,Bowling Green State University,Mid-American Conference,78,68,Bowling Green,MAC,23724,1966,Bowling Grn,0,-33.6,-13.3,Bowling Green State University-Main Campus,110,10
409,Brigham Young,Ind.,Kalani Sitake,,,,,25089124,18851350,Brigham Young University,Independent,70,40,,,,,,,,,Brigham Young University-Provo,123,10
213,Buffalo,MAC,Lance Leipold,455500,381000,Buffalo,MAC,45977952,45933053,"University at Buffalo, the State University of New York",Mid-American Conference,84,75,Buffalo,MAC,29013,1993,Buffalo,85.7,21.6,5.6,University at Buffalo,117,14
156,California,Pac-12,Justin Wilcox,1500000,900000,California,Pac-12,87500758,106676734,University of Southern California,Pac-12 Conference,82,62,California,Pac 12,62717,1923,California,25,-6.2,-4.9,California Lutheran University,84,8
371,Central Florida,AAC,Josh Heupel,1700000,250000,Central Florida,AAC,69121887,67916343,University of Central Florida,American Athletic Conference,81,65,Central Florida,AAC,45323,2007,Florida,66.7,9,-2.3,University of Central Florida,125,10
337,Central Michigan,MAC,John Bonamego,655000,415000,Central Michigan,MAC,34942574,33642870,Central Michigan University,Mid-American Conference,82,69,Central Michigan,MAC,30255,1972,Michigan,33.3,-6.2,-11.5,Central Michigan University,112,14
185,Charlotte,C-USA,Brad Lambert,625000,120000,Charlotte,C-USA,40866430,38454232,The University of North Carolina at Charlotte,Conference USA,80,69,UNC Charlotte,CUSA,15314,2013,Charlotte,33.3,-5.5,-4.1,University of North Carolina at Charlotte,137,10
155,Cincinnati,AAC,Luke Fickell,2000000,625000,Cincinnati,AAC,68845672,66832326,University of Cincinnati,American Athletic Conference,87,66,Cincinnati,AAC,40000,1916,Cincinnati,90,20.7,8,University of Cincinnati-Main Campus,119,14
154,Clemson,ACC,Dabo Swinney,6543350,1125000,Clemson,ACC,133861515,131978513,Clemson University,Atlantic Coast Conference,83,59,Clemson,ACC,81500,1942,Clemson,83.3,23.3,-1.3,Clemson University,122,10
