,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,AssistantPay,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,city_txt,classification_name,PARTIC_MEN_Football,TOTAL_OPEXP_MENWOMEN_Football,MEN_TOTAL_HEADCOACH_Football,MEN_TOTAL_ASSTCOACH_Football,TOTAL_REV_MENWOMEN_Football,TOTAL_EXP_MENWOMEN_Football
399,Nevada-Las Vegas,Mt. West,Tony Sanchez,"$600,000 ","$260,000 ",$0 ,Nevada-Las Vegas,Mt. West,"$50,784,275","$50,445,250","University of Nevada, Las Vegas",Mountain West Conference,69.0,61.0,Nevada,Mountain West,29993.0,1966.0,Nevada,77.8%,7.4,0.9,University of Nevada-Las Vegas,Las Vegas,NCAA Division I-FBS,106.0,2240436.0,1.0,10.0,12223081.0,12223081.0
4,Wake Forest,ACC,Dave Clawson,"$1,831,580 ",,$0 ,Virginia,ACC,"$110,219,117","$112,621,238",Wake Forest University,Atlantic Coast Conference,88.0,73.0,Wake Forest,ACC,31500.0,1968.0,Wake Forest,44.4%,3.2,5.1,Wake Forest University,Winston-Salem,NCAA Division I-FBS,125.0,2230847.0,1.0,10.0,24698755.0,24698755.0
17,San Jose State,Mt. West,Brent Brennan,"$590,424 ","$210,000 ",$0 ,San Jose State,Mt. West,"$32,787,377","$33,184,068",San Jose State University,Mountain West Conference,72.0,68.0,San Jose State,Mountain West,30456.0,1933.0,San Jose St,87.5%,8.8,6.8,San Jose State University,San Jose,NCAA Division I-FBS,100.0,3242974.0,1.0,10.0,10287259.0,10287259.0
370,Louisiana Tech,C-USA,Skip Holtz,"$700,000 ","$395,000 ",$0 ,Louisiana Tech,C-USA,"$24,948,474","$24,910,914",Louisiana Tech University,Conference USA,61.0,47.0,Louisiana Tech,CUSA,30600.0,1968.0,Texas Tech,40.0%,-7.6,-7.3,Louisiana Tech University,Ruston,NCAA Division I-FBS,105.0,1527207.0,1.0,10.0,8977470.0,8046418.0
339,Southern Methodist,AAC,Sonny Dykes,,,$0 ,Southern,SWAC,"$15,021,312","$15,086,644",Southern Methodist University,American Athletic Conference,75.0,64.0,Southern Miss,CUSA,36000.0,1932.0,S Methodist,70.0%,7.7,-5.2,Southern Methodist University,Dallas,NCAA Division I-FBS,140.0,4105129.0,1.0,10.0,21199002.0,21199002.0
293,Northern Illinois,MAC,Rod Carey,"$633,460 ","$205,000 ",$0 ,Northern Illinois,MAC,"$28,057,388","$26,483,239",Northern Illinois University,Mid-American Conference,84.0,65.0,Northern Illinois,MAC,24000.0,1965.0,Illinois,25.0%,-14.8,-1.9,Northern Illinois University,Dekalb,NCAA Division I-FBS,109.0,1662669.0,1.0,14.0,7438508.0,7438508.0
338,Western Michigan,MAC,Tim Lester,"$800,000 ","$346,500 ",$0 ,Western Michigan,MAC,"$38,492,604","$38,997,076",Western Michigan University,Mid-American Conference,73.0,39.0,Western Michigan,MAC,30200.0,1939.0,Michigan,33.3%,-6.2,-11.5,Western Michigan University,Kalamazoo,NCAA Division I-FBS,110.0,1058494.0,1.0,14.0,9275641.0,9275641.0
292,Georgia Southern,Sun Belt,Chad Lunsford,"$650,000 ","$295,000 ",$0 ,Georgia Southern,Sun Belt,"$29,483,912","$29,504,873",Georgia Southern University,Sun Belt Conference,67.0,58.0,Georgia Southern,Sun Belt,24300.0,1984.0,Georgia,80.0%,12.3,-0.8,Georgia Southern University,Statesboro,NCAA Division I-FBS,125.0,2349894.0,1.0,16.0,6740685.0,8966676.0
401,Alabama at Birmingham,C-USA,Bill Clark,"$900,000 ","$950,000 ",$0 ,Alabama at Birmingham,C-USA,"$36,494,381","$35,697,117",University of Alabama at Birmingham,Conference USA,73.0,47.0,Alabama,SEC,101821.0,1929.0,Alabama,100.0%,29.1,7.0,University of Alabama at Birmingham,Birmingham,NCAA Division I-FBS,127.0,1585504.0,1.0,10.0,12179203.0,12179203.0
294,West Virginia,Big 12,Dana Holgorsen,"$3,617,500 ","$1,000,000 ",$0 ,West Virginia,Big 12,"$102,680,928","$98,249,890",West Virginia University,Big 12 Conference,69.0,58.0,West Virginia,Big 12,60000.0,1980.0,Virginia,50.0%,1.1,0.2,West Virginia University,Morgantown,NCAA Division I-FBS,127.0,5325499.0,1.0,14.0,18962505.0,22221317.0
404,Old Dominion,C-USA,Bobby Wilder,"$654,667 ","$504,895 ",$0 ,Old Dominion,C-USA,"$46,956,655","$49,376,061",Old Dominion University,Conference USA,63.0,41.0,Old Dominion,CUSA,20118.0,1936.0,,,,,Old Dominion University,Norfolk,NCAA Division I-FBS,118.0,3557671.0,1.0,14.0,12279870.0,12279870.0
18,Texas Tech,Big 12,Kliff Kingsbury,"$3,703,975 ","$1,500,000 ",$0 ,Texas Tech,Big 12,"$96,625,347","$95,132,604",Texas Tech University,Big 12 Conference,73.0,52.0,Texas Tech,Big 12,60862.0,1947.0,Texas Tech,40.0%,-7.6,-7.3,Texas Tech University,Lubbock,NCAA Division I-FBS,124.0,4222009.0,1.0,14.0,47746305.0,21593943.0
141,San Diego State,Mt. West,Rocky Long,"$873,576 ","$720,000 ",$0 ,San Diego State,Mt. West,"$54,731,404","$55,379,174",San Diego State University,Mountain West Conference,85.0,73.0,San Diego State,Mountain West,70561.0,1967.0,San Diego St,50.0%,6.9,3.2,San Diego State University,San Diego,NCAA Division I-FBS,119.0,8278654.0,1.0,10.0,13576870.0,16899563.0
353,Eastern Michigan,MAC,Chris Creighton,"$460,000 ","$395,000 ",$0 ,Eastern Michigan,MAC,"$30,878,069","$30,878,069",Eastern Michigan University,Mid-American Conference,75.0,58.0,Eastern Michigan,MAC,30200.0,1969.0,Michigan,33.3%,-6.2,-11.5,Eastern Michigan University,Ypsilanti,NCAA Division I-FBS,119.0,1820832.0,1.0,10.0,8456325.0,8456325.0
337,Central Michigan,MAC,John Bonamego,"$655,000 ","$415,000 ",$0 ,Central Michigan,MAC,"$34,942,574","$33,642,870",Central Michigan University,Mid-American Conference,82.0,69.0,Central Michigan,MAC,30255.0,1972.0,Michigan,33.3%,-6.2,-11.5,Central Michigan University,Mount Pleasant,NCAA Division I-FBS,112.0,1657127.0,1.0,14.0,8261430.0,8261430.0
13,Notre Dame,Ind.,Brian Kelly,"$2,129,638 ",,$0 ,,,,,University of Notre Dame,Independent,91.0,85.0,Notre Dame,Independent,77622.0,1930.0,Notre Dame,83.3%,13.8,3.0,Notre Dame College,Cleveland,NCAA Division II with football,129.0,317315.0,1.0,7.0,1508887.0,1508887.0
